,ano,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,tipo_emissao,gas,atividade_economica,produto,emissao
242000,1970,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,172885.14
242001,1971,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,164905.83
242002,1972,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,183524.23
242003,1973,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,351089.82
242004,1974,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,388326.62
242005,1975,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,433542.73
242006,1976,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,446841.59
242007,1977,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,470779.53
242008,1978,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,492057.7
242009,1979,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,563871.53
242010,1980,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,765708.73
242011,1981,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,732831.11
242012,1982,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,971650.76
242013,1983,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,1153943.0
242014,1984,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,935179.3
242015,1985,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,1092716.2
242016,1986,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,1178440.6
242017,1987,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,1067268.2
242018,1988,Energia,Emissões pela Queima de Combustíveis,Produção de Combustíveis,Exploração de petróleo e gás natural,Diesel de petróleo,Consumo Final Energético,Emissão,CO2 (t),PROD_COMB,,1257913.3
